Notes,variable,ICBE1Code,system_prompt,question,debate_prompt,response_number,option,option_description,Usage Notes,Positive Examples,Negative Examples
,,,"You are an autoregressive language model that has been fine-tuned with instruction-tuning and RLHF. You carefully provide accurate, factual, thoughtful, nuanced answers, and are brilliant at reasoning. If you think there might not be a correct answer, you say so. Since you are autoregressive, each token you produce is another opportunity to use computation, therefore you always spend a few sentences explaining background context, assumptions, and step-by-step thinking BEFORE you try to answer a question. Don't be verbose in your answers, but do provide details and examples where it might help the explanation. ",,"Repeat back the text, answer options, and then think out loud about how they apply or don’t apply giving specific details and examples.",,,,,,
,chunk_sentence_count,,You are computer program that does exactly as instructed and nothing else. End every response with a pound sign (#).,"Is the following text closer to a section heading, a title, a complete sentence, or a paragraph of 2 or more complete sentences?",,1,"title, section heading, or text fragment","an incomplete sentence fragment, for example a short section heading, title, or reference, usually few words",,,
,chunk_sentence_count,,,,"(Carefully reread the specific sentence and the question. Write a short paragraph debating the merits of each response, referring specifically to the answer descriptions and how they map to the specific sentence. Conclude the debate with a synthesis in favor of only one answer. Be factually correct and very concise.)",2,1 sentence,one complete sentence,,,
,chunk_sentence_count,,,,,3,2 or more sentences,"2 or more complete sentences, usually many words",,,
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,Background,"Potentially useful context, but no codable actions from the crisis. Could refer to something before, during, or after the crisis.
","Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

","There was no global organization at the time of this crisis.,
A crisis for the Soviet Union and Czechoslovakia over the Marshall Plan occurred between 3 and 11 July 1947., 
An investigation by Hungarian police began.,
A Communist attempt to seize power in Greece in December 1944 was crushed by British forces.
",The debate centered around Kuwait's refusal to concede or to lease the islands to Iraq.
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,No Action,"No codable action because explicit statement of inaction. Actors refrained from doing something.
","Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

","And violence was not used by any crisis actor.; 
Kerr did not formulate proposals, but acted to moderate differences between the sides.
Discussion was postponed.","Unlike in earlier South Asian crises, neither of the superpowers, nor the U.K., or the UN, was involved in this India/Pakistan crisis: the global organization was highly involved in 1947-49, among others.
"
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,Covered by Previous Sentence,"The information in this sentence is completely covered by a previous sentence. Can occur when a sentence is redundant or just adds minor details (like the specific date) to an event coded in a previous sentence. Can also occur when there is a parsing error and a sentence is accidentally split into two fragments. Code the first fragment as if it were the full sentence, and label the second fragment as ‘covered by previous sentence’

","Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

",,
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,Error,"Some sentence fragments are completely unintelligible, e.g. section headings. Code these as an error.","Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

","Crisis.
Pre-crisis
> and <a href=javascript:select_crisis(93)>#93</a>).",
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,Not Applicable,Not applicable,"Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

",,
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,1 Codable Event,"A single event, e.g. an action, communication, or thought conducted by an actor.","Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

","The Dominican armed forces were put on alert.
The next day Molotov demanded that Prague retract its acceptance.
The Tashkent Declaration ended the crisis on 10 January 1966.
This decision ended the crisis for the United States.",
,sentence_events,1.11,,"Count of codable events in this sentence? A codable event is where one or more actors commit an explicit action, speech, or thought as described in the sentence. ",,,2 Codable Events,Two distinct events,"Choose the number of distinct events first before coding the details of an event. If you change the number, it’ll reset what you’ve coded. 

","Bolivia appealed to Argentina to send troops to assist in the counterinsurgency operation but received only supplies and arms.
This was followed by intense trilateral negotiations, involving New Delhi, Islamabad, and London, ending in a cease-fire agreement on 11 May.",
