	crisno	sentence_number_int_aligned	yhat_prompt_entity_yes_no
0	1	1	asdasdasd
1	1	2	
2	1	3	
3	1	4	
4	1	5	
5	1	6	
6	1	7	
7	1	8	
8	1	9	
9	1	10	
10	1	11	
11	1	12	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	2	12	
24	2	13	
25	2	14	
26	2	15	
27	2	16	
28	2	17	
29	2	18	
30	2	19	
31	2	20	
32	3	1	
33	3	2	
34	3	3	
35	3	4	
36	3	5	
37	3	6	
38	3	7	
39	3	8	
40	3	9	
41	4	1	
42	4	2	
43	4	3	
44	4	4	
45	4	5	
46	4	6	
47	4	7	
48	4	8	
49	4	9	
50	4	10	
51	4	11	
52	4	12	
53	4	13	
54	4	14	
55	4	15	
56	4	16	
57	4	17	
58	4	18	
59	4	19	
60	4	20	
61	4	21	
62	4	22	
63	4	23	
64	4	24	
65	4	25	
66	4	26	
67	4	27	
68	4	28	
69	4	29	
70	4	30	
71	4	31	
72	4	32	
73	4	33	
74	5	1	
75	5	2	
76	5	3	
77	5	4	
78	5	5	
79	5	6	
80	5	7	
81	5	8	
82	5	9	
83	5	10	
84	5	11	
85	5	12	
86	5	13	
87	5	14	
88	5	15	
89	5	16	
90	5	17	
91	5	18	
92	5	19	
93	5	20	
94	5	21	
95	5	22	
96	6	1	
97	6	2	
98	6	3	
99	6	4	
100	6	5	
101	6	6	
102	6	7	
103	6	8	
104	6	9	
105	6	10	
106	6	11	
107	6	12	
108	6	13	
109	6	14	
110	6	15	
111	6	16	
112	6	17	
113	6	18	
114	6	19	
115	6	20	
116	6	21	
117	6	22	
118	6	23	
119	6	24	
120	6	25	
121	6	26	
122	6	27	
123	7	1	
124	7	2	
125	7	3	
126	7	4	
127	7	5	
128	7	6	
129	7	7	
130	7	8	
131	7	9	
132	7	10	
133	7	11	
134	7	12	
135	7	13	
136	7	14	
137	7	15	
138	7	16	
139	7	17	
140	7	18	
141	7	19	
142	7	20	
143	7	21	
144	7	22	
145	8	1	
146	8	2	
147	8	3	
148	8	4	
149	8	5	
150	8	6	
151	8	7	
152	8	8	
153	8	9	
154	8	10	
155	8	11	
156	8	12	
157	8	13	
158	8	14	
159	8	15	
160	8	16	
161	8	17	
162	8	18	
163	8	19	
164	8	20	
165	8	21	
166	8	22	
167	9	1	
168	9	2	
169	9	3	
170	9	4	
171	9	5	
172	9	6	
173	9	7	
174	9	8	
175	9	9	
176	9	10	
177	9	11	
178	9	12	
179	9	13	
180	9	14	
181	9	15	
182	9	16	
183	9	17	
184	10	1	
185	10	2	
186	10	3	
187	10	4	
188	10	5	
189	10	6	
190	10	7	
191	10	8	
192	10	9	
193	10	10	
194	10	11	
195	10	12	
196	10	13	
197	10	14	
198	10	15	
199	10	16	
200	10	17	
201	10	18	
202	10	19	
203	10	20	
204	10	21	
205	10	22	
206	10	23	
207	10	24	
208	11	1	
209	11	2	
210	11	3	
211	11	4	
212	11	5	
213	11	6	
214	11	7	
215	11	8	
216	11	9	
217	11	10	
218	11	11	
219	11	12	
220	11	13	
221	11	14	
222	11	15	
223	11	16	
224	11	17	
225	11	18	
226	12	1	
227	12	2	
228	12	3	
229	12	4	
230	12	5	
231	12	6	
232	12	7	
233	12	8	
234	12	9	
235	12	10	
236	12	11	
237	12	12	
238	12	13	
239	12	14	
240	12	15	
241	12	16	
242	12	17	
243	12	18	
244	12	19	
245	12	20	
246	12	21	
247	12	22	
248	12	23	
249	12	24	
250	13	1	
251	13	2	
252	13	3	
253	13	4	
254	13	5	
255	13	6	
256	13	7	
257	13	8	
258	13	9	
259	13	10	
260	13	11	
261	13	12	
262	13	13	
263	13	14	
264	13	15	
265	13	16	
266	13	17	
267	13	18	
268	13	19	
269	13	20	
270	13	21	
271	13	22	
272	14	1	
273	14	2	
274	14	3	
275	14	4	
276	14	5	
277	14	6	
278	14	7	
279	14	8	
280	14	9	
281	14	10	
282	14	11	
283	14	12	
284	14	13	
285	14	14	
286	14	15	
